mainFrameColor,71,121,166
jButton1,176,243,7
jButton2,192,251,247
jButton3,219,150,254
jButton4,230,86,250
jButton5,252,140,27
jButton6,218,48,127
jButton7,90,35,195
jButton8,87,208,150
jButton9,68,179,180
jButton10,30,170,72
jButton11,81,97,217
jButton12,98,170,64
jButton13,111,147,6
jButton14,73,80,216
jButton15,216,97,61
jButton16,199,27,193
jButton17,87,127,177
jButton18,196,222,112
jTextField1,141,63,226
jTextField1TextColor,109,211,125
jLabel1,110,37,64
jPanel1,236,31,198
jPanel2,20,53,36
jPanel3,2,241,98
jPanel4,65,192,46
jPanel5,111,188,21
