mainFrameColor,29,193,110
jButton1,47,162,229
jButton2,198,221,238
jButton3,227,144,43
jButton4,48,211,103
jButton5,254,248,125
jButton6,16,123,137
jButton7,188,42,10
jButton8,19,23,58
jButton9,178,198,153
jButton10,240,88,102
jButton11,194,150,83
jButton12,103,223,27
jButton13,38,171,221
jButton14,46,212,53
jButton15,90,182,19
jButton16,113,8,57
jButton17,121,235,27
jButton18,78,65,99
jTextField1,65,160,45
jTextField1TextColor,5,29,18
jLabel1,61,114,65
jPanel1,190,222,120
jPanel2,53,130,191
jPanel3,95,53,8
jPanel4,12,105,32
jPanel5,1,80,206
currentFitness,4.668277345825471E8
