mainFrameColor,235,30,211
jButton1,64,8,191
jButton2,136,81,115
jButton3,235,20,14
jButton4,160,222,159
jButton5,236,206,85
jButton6,181,195,201
jButton7,80,55,232
jButton8,96,9,155
jButton9,195,236,112
jButton10,218,24,182
jButton11,107,92,177
jButton12,129,114,91
jButton13,118,213,113
jButton14,40,245,65
jButton15,103,219,73
jButton16,126,221,185
jButton17,112,124,169
jButton18,215,87,143
jTextField1,181,140,32
jTextField1TextColor,186,73,83
jLabel1,94,87,113
jPanel1,62,98,143
jPanel2,61,66,238
jPanel3,217,0,109
jPanel4,57,104,11
jPanel5,102,136,249
