mainFrameColor,26,68,30
jButton1,254,174,32
jButton2,0,0,0
jButton3,74,74,74
jButton4,182,236,242
jButton5,129,131,26
jButton6,144,236,15
jButton7,123,52,35
jButton8,179,157,220
jButton9,242,196,175
jButton10,167,115,195
jButton11,166,16,158
jButton12,160,36,147
jButton13,106,110,98
jButton14,226,235,142
jButton15,132,151,84
jButton16,40,124,46
jButton17,99,177,214
jButton18,235,255,117
jTextField1,208,52,203
jTextField1TextColor,69,116,27
jLabel1,127,99,246
jPanel1,248,18,93
jPanel2,204,146,65
jPanel3,5,208,42
jPanel4,249,205,74
jPanel5,41,103,173
currentFitness,2.0489792854047945E8
