Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Obj1, Obj2, Obj3
1.000000, 0.006930, 0.402584, 0.602148, 0.502007, 0.397208, 0.499592, 0.699409, 0.402819, 0.601769, 0.397734, 0.399103, 0.000000, 0.000000, 20.077351
0.554630, 0.000000, 0.599239, 0.602148, 0.401549, 0.397208, 0.499264, 0.801141, 0.402819, 0.702017, 0.397734, 0.399103, 18.122188, 0.000000, 21.533545
0.000000, 1.000000, 0.497681, 0.695992, 0.502083, 0.498356, 0.601245, 0.697263, 0.502147, 0.501167, 0.498552, 0.401357, 0.000000, 20.070586, 0.000000
0.088792, 0.640028, 0.500936, 0.701465, 0.602560, 0.498356, 0.499420, 0.498235, 0.502147, 0.497203, 0.498552, 0.401357, 7.116470, 11.214838, 1.864631
0.000000, 0.000000, 0.496773, 0.797175, 0.502120, 0.498356, 0.698890, 0.700431, 0.502147, 0.501657, 0.498552, 0.303038, 30.684011, 0.000000, 0.000000
0.079256, 0.012036, 0.498222, 0.602148, 0.401606, 0.397208, 0.501066, 0.697505, 0.402819, 0.602053, 0.397734, 0.499675, 19.301778, 0.364964, 2.415911
0.000102, 1.000000, 0.498902, 0.698365, 0.502083, 0.498356, 0.501145, 0.595504, 0.502147, 0.499312, 0.498552, 0.401357, 0.000000, 14.976423, 0.002401
0.832004, 0.006930, 0.402584, 0.602148, 0.502007, 0.397208, 0.499592, 0.699409, 0.402819, 0.601769, 0.397734, 0.399103, 5.236574, 0.057002, 19.382339
0.467613, 0.228007, 0.499549, 0.602148, 0.401681, 0.397208, 0.599058, 0.801174, 0.402819, 0.600155, 0.397734, 0.399103, 16.930463, 6.336976, 16.325807
0.000000, 0.989140, 0.498902, 0.698728, 0.502083, 0.498356, 0.501145, 0.596495, 0.502147, 0.499716, 0.498552, 0.401357, 0.224744, 13.173695, 0.000000
0.000923, 0.280055, 0.498222, 0.602148, 0.401606, 0.397208, 0.401044, 0.697505, 0.402819, 0.602053, 0.397734, 0.499675, 18.480971, 8.698445, 0.029605
0.639288, 0.227584, 0.400109, 0.602148, 0.502007, 0.397208, 0.498796, 0.801108, 0.402819, 0.500974, 0.397734, 0.399103, 11.497011, 4.294568, 19.291291
0.079256, 0.280055, 0.498222, 0.602148, 0.401606, 0.397208, 0.501066, 0.697505, 0.402819, 0.602053, 0.397734, 0.499675, 17.467179, 8.221283, 2.415911
0.006480, 1.000000, 0.498902, 0.698728, 0.502083, 0.498356, 0.501145, 0.595504, 0.502147, 0.499312, 0.498552, 0.401357, 0.000000, 14.781792, 0.150471
0.000000, 0.068480, 0.498996, 0.696633, 0.502120, 0.498356, 0.698890, 0.702413, 0.502147, 0.502464, 0.498552, 0.303038, 26.220780, 2.831434, 0.000000
0.008135, 0.640028, 0.500936, 0.701465, 0.602560, 0.498356, 0.499420, 0.498235, 0.502147, 0.497203, 0.498552, 0.401357, 7.185667, 11.323886, 0.171384
0.639288, 0.119651, 0.400109, 0.602148, 0.502007, 0.397208, 0.498796, 0.801108, 0.402819, 0.500974, 0.397734, 0.399103, 12.056791, 2.293115, 19.291291
0.006480, 0.989140, 0.498902, 0.698728, 0.502083, 0.498356, 0.501145, 0.596495, 0.502147, 0.499716, 0.498552, 0.401357, 0.224733, 13.173013, 0.134114
1.000000, 0.177982, 0.402584, 0.602148, 0.502007, 0.397208, 0.499592, 0.700120, 0.402819, 0.601769, 0.397734, 0.399103, 0.000000, 0.000000, 20.039739
0.161314, 0.640028, 0.500936, 0.701465, 0.602560, 0.498356, 0.501145, 0.498235, 0.502147, 0.497203, 0.498552, 0.401357, 7.056544, 11.120402, 3.410570
