Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Obj1, Obj2, Obj3
0.993077, 1.000000, 0.500147, 0.500749, 0.501267, 0.499740, 0.498446, 0.500209, 0.500427, 0.501174, 0.500929, 0.500030, 0.000000, 0.707956, 0.706267
0.993077, 0.736101, 0.500137, 0.501684, 0.502230, 0.500193, 0.501096, 0.500209, 0.500427, 0.501233, 0.499445, 0.500487, 0.707959, 0.000000, 0.706270
0.818657, 0.993224, 0.500916, 0.501331, 0.499581, 0.500068, 0.499839, 0.499513, 0.500013, 0.497103, 0.499766, 0.500404, 0.699680, 0.714472, 0.000000
0.990496, 0.992468, 0.500903, 0.497890, 0.499619, 0.498958, 0.505072, 0.497801, 0.501899, 0.500275, 0.500169, 0.500230, 0.609022, 0.553312, 0.568349
0.941111, 1.000000, 0.499429, 0.499354, 0.499899, 0.500381, 0.499727, 0.499769, 0.499427, 0.500074, 0.499435, 0.500113, 0.000000, 0.999995, 0.003632
0.973907, 1.000000, 0.501141, 0.499705, 0.498622, 0.500061, 0.500516, 0.499448, 0.499859, 0.499470, 0.500134, 0.499649, 0.000000, 0.993778, 0.111418
0.947975, 0.952529, 0.500448, 0.500564, 0.500052, 0.500242, 0.499580, 0.500487, 0.497719, 0.499822, 0.500294, 0.499180, 0.999905, 0.012131, 0.007513
1.000000, 1.000000, 0.500428, 0.500173, 0.499964, 0.499773, 0.499411, 0.499944, 0.500523, 0.499813, 0.499788, 0.500293, 0.000000, 0.000000, 1.000001
0.963589, 0.693389, 0.499839, 0.499874, 0.500196, 0.500048, 0.499782, 0.500339, 0.504222, 0.498773, 0.499442, 0.500012, 0.999279, 0.000000, 0.038477
0.999812, 0.995931, 0.499425, 0.498636, 0.502239, 0.499936, 0.502074, 0.498487, 0.500076, 0.499524, 0.497562, 0.496873, 0.014662, 0.025254, 0.999603
0.978767, 0.978609, 0.499242, 0.499307, 0.502556, 0.497697, 0.499737, 0.498852, 0.500188, 0.499671, 0.501318, 0.501780, 0.967185, 0.176728, 0.182647
0.980242, 0.998688, 0.499177, 0.498633, 0.498327, 0.499141, 0.499666, 0.499303, 0.504036, 0.500222, 0.497317, 0.500571, 0.187673, 0.959133, 0.211905
0.997399, 0.993224, 0.499214, 0.494138, 0.498794, 0.507489, 0.501194, 0.499122, 0.500239, 0.500709, 0.499958, 0.499898, 0.246632, 0.251846, 0.935915
0.993062, 0.996612, 0.498613, 0.498929, 0.498877, 0.500021, 0.503416, 0.499399, 0.503466, 0.500544, 0.499559, 0.500348, 0.309635, 0.637641, 0.705406
0.982741, 0.992333, 0.497015, 0.496789, 0.499793, 0.493723, 0.501290, 0.499264, 0.499816, 0.490795, 0.498896, 0.499758, 0.718773, 0.640055, 0.272007
0.993077, 0.985641, 0.499438, 0.500089, 0.501287, 0.499673, 0.504578, 0.499550, 0.499777, 0.500124, 0.501147, 0.501397, 0.660105, 0.255897, 0.706280
0.995095, 1.000000, 0.500319, 0.500531, 0.500524, 0.501567, 0.501169, 0.495200, 0.500085, 0.499241, 0.499432, 0.497342, 0.000000, 0.573026, 0.819581
0.973413, 0.994753, 0.499778, 0.500068, 0.496552, 0.500533, 0.498159, 0.500618, 0.499602, 0.499727, 0.500066, 0.499619, 0.595912, 0.796052, 0.105934
0.979772, 0.772308, 0.499801, 0.500643, 0.499962, 0.499731, 0.499914, 0.499951, 0.500031, 0.499619, 0.500033, 0.499915, 0.979362, 0.000000, 0.202115
0.999379, 0.544685, 0.500313, 0.498772, 0.498526, 0.499702, 0.500080, 0.500285, 0.500810, 0.499201, 0.500071, 0.497809, 0.094438, 0.000000, 0.995541
