Var1, Var2, Var3, Var4, Var5, Var6, Var7, Var8, Var9, Var10, Var11, Var12, Obj1, Obj2, Obj3
0.500000, 0.000000, 0.698769, 0.698904, 0.599814, 0.303273, 0.500552, 0.296541, 0.498814, 0.300763, 0.398328, 0.399837, 21.164615, 0.000000, 21.164615
0.000000, 0.502076, 0.701371, 0.600072, 0.700848, 0.302530, 0.503908, 0.201165, 0.597968, 0.400482, 0.498731, 0.399441, 22.669091, 22.817417, 0.000000
0.008511, 0.016443, 0.700998, 0.600072, 0.700848, 0.298466, 0.501934, 0.199768, 0.597968, 0.400482, 0.498731, 0.399044, 29.018297, 0.749661, 0.388122
0.500000, 1.000000, 0.699048, 0.699887, 0.602756, 0.302990, 0.499716, 0.198621, 0.399520, 0.299444, 0.398328, 0.398250, 0.000000, 24.867047, 24.867047
0.472731, 0.123551, 0.698905, 0.600072, 0.700216, 0.300118, 0.501291, 0.397616, 0.497415, 0.401923, 0.599135, 0.398250, 16.254645, 3.194808, 15.203967
0.098304, 0.510297, 0.701743, 0.600072, 0.700848, 0.301170, 0.502280, 0.200317, 0.597968, 0.400482, 0.498731, 0.399044, 20.223371, 20.888414, 4.525548
0.240621, 0.018270, 0.700998, 0.600072, 0.700848, 0.300869, 0.502280, 0.298680, 0.597968, 0.400482, 0.500306, 0.398250, 22.685866, 0.651221, 9.011292
0.674876, 0.123551, 0.698905, 0.600072, 0.700216, 0.299668, 0.501291, 0.397616, 0.497415, 0.401923, 0.599135, 0.398250, 10.801971, 2.123099, 19.648375
0.000000, 0.000000, 0.697486, 0.698904, 0.599814, 0.303273, 0.500552, 0.297033, 0.498814, 0.300763, 0.398328, 0.399837, 30.186888, 0.000000, 0.000000
0.098304, 0.626520, 0.701743, 0.600072, 0.700848, 0.301170, 0.502280, 0.200317, 0.597968, 0.400482, 0.498731, 0.399044, 16.094994, 24.212842, 4.525548
0.000000, 0.014616, 0.701743, 0.600072, 0.700730, 0.300269, 0.502626, 0.200317, 0.597968, 0.400482, 0.498731, 0.399441, 29.362062, 0.674228, 0.000000
0.708628, 0.000102, 0.699507, 0.600072, 0.700374, 0.299668, 0.501349, 0.200342, 0.497415, 0.401203, 0.498731, 0.398250, 12.374535, 0.001975, 25.122415
0.892507, 0.000000, 0.699507, 0.600072, 0.700848, 0.398495, 0.501934, 0.200342, 0.500159, 0.402643, 0.498731, 0.398250, 4.320390, 0.000000, 25.343593
1.000000, 0.000000, 0.699507, 0.600072, 0.700848, 0.398495, 0.501934, 0.200342, 0.500159, 0.402643, 0.498731, 0.398449, 0.000000, 0.000000, 25.576152
0.000000, 1.000000, 0.699048, 0.600470, 0.602756, 0.302990, 0.499716, 0.198621, 0.399520, 0.299444, 0.398328, 0.398250, 0.000000, 32.222408, 0.000000
0.068440, 0.018270, 0.700998, 0.600072, 0.700848, 0.300869, 0.502280, 0.298680, 0.597968, 0.400482, 0.498731, 0.398250, 24.565165, 0.705168, 2.652188
0.403570, 0.018270, 0.700998, 0.600072, 0.700848, 0.300118, 0.502280, 0.298680, 0.597968, 0.400482, 0.500306, 0.398250, 19.572533, 0.561849, 14.394594
0.674876, 0.095437, 0.698937, 0.600072, 0.699584, 0.302472, 0.500603, 0.397616, 0.397072, 0.400482, 0.599135, 0.398250, 11.647219, 1.759264, 21.023924
0.050385, 0.014616, 0.700998, 0.600072, 0.700848, 0.404275, 0.502453, 0.298680, 0.697122, 0.400482, 0.498731, 0.398250, 28.911200, 0.663875, 2.293577
0.086904, 0.510297, 0.701743, 0.600072, 0.700848, 0.301170, 0.502280, 0.200317, 0.597968, 0.400482, 0.498731, 0.399044, 20.276494, 20.943284, 4.004224
