mainFrameColor,202,229,212
jButton1,241,132,12
jButton2,186,12,39
jButton3,181,185,12
jButton4,222,193,100
jButton5,55,170,213
jButton6,249,125,175
jButton7,221,27,180
jButton8,208,189,108
jButton9,12,162,12
jButton10,42,192,227
jButton11,145,190,227
jButton12,19,16,101
jButton13,38,19,117
jButton14,206,172,170
jButton15,240,111,104
jButton16,100,33,38
jButton17,182,83,54
jButton18,14,138,31
jTextField1,47,38,84
jTextField1TextColor,220,164,93
jLabel1,165,64,12
jPanel1,193,58,49
jPanel2,161,12,132
jPanel3,101,190,22
jPanel4,244,203,51
jPanel5,129,14,208
currentFitness,6.17682592622357E8
