mainFrameColor,213,186,8
jButton1,129,246,168
jButton2,69,218,23
jButton3,39,110,191
jButton4,222,254,245
jButton5,248,248,20
jButton6,215,7,102
jButton7,173,128,7
jButton8,141,241,166
jButton9,20,53,105
jButton10,75,192,114
jButton11,143,47,77
jButton12,155,132,195
jButton13,216,70,180
jButton14,62,241,152
jButton15,235,140,58
jButton16,219,73,237
jButton17,197,209,44
jButton18,108,148,48
jTextField1,15,73,185
jTextField1TextColor,200,132,244
jLabel1,179,124,55
jPanel1,222,8,207
jPanel2,23,96,180
jPanel3,242,131,37
jPanel4,253,38,64
jPanel5,190,200,105
currentFitness,4.559159761566201E8
