mainFrameColor,74,19,185
jButton1,213,127,210
jButton2,254,44,17
jButton3,2,191,96
jButton4,221,72,245
jButton5,53,240,210
jButton6,229,82,79
jButton7,245,216,136
jButton8,225,212,200
jButton9,96,206,99
jButton10,45,144,48
jButton11,96,119,103
jButton12,88,30,246
jButton13,13,59,182
jButton14,124,200,109
jButton15,27,97,101
jButton16,223,193,166
jButton17,113,41,84
jButton18,198,168,247
jTextField1,57,232,152
jTextField1TextColor,47,44,209
jLabel1,230,5,228
jPanel1,208,57,219
jPanel2,84,19,92
jPanel3,148,19,227
jPanel4,31,214,122
jPanel5,239,83,161
