mainFrameColor,0,0,117
jButton1,114,81,0
jButton2,0,98,14
jButton3,133,89,128
jButton4,60,0,28
jButton5,0,177,15
jButton6,78,98,22
jButton7,176,151,185
jButton8,40,167,162
jButton9,94,47,192
jButton10,186,71,37
jButton11,170,17,174
jButton12,5,0,69
jButton13,187,51,0
jButton14,145,0,24
jButton15,104,0,191
jButton16,20,160,0
jButton17,180,60,62
jButton18,2,51,89
jTextField1,0,0,0
jTextField1TextColor,74,74,74
jLabel1,17,0,53
jPanel1,146,113,154
jPanel2,6,100,0
jPanel3,136,146,139
jPanel4,81,0,64
jPanel5,0,58,110
currentFitness,2.403299399802216E8
