mainFrameColor,145,93,22
jButton1,11,109,247
jButton2,149,126,189
jButton3,152,41,82
jButton4,195,91,230
jButton5,41,208,102
jButton6,230,150,60
jButton7,124,103,0
jButton8,141,37,59
jButton9,167,220,203
jButton10,165,81,70
jButton11,207,132,0
jButton12,67,91,2
jButton13,97,86,222
jButton14,108,202,107
jButton15,8,167,198
jButton16,82,21,64
jButton17,25,47,55
jButton18,29,124,22
jTextField1,246,102,74
jTextField1TextColor,68,180,30
jLabel1,196,121,135
jPanel1,92,107,140
jPanel2,85,220,16
jPanel3,227,116,3
jPanel4,93,161,246
jPanel5,6,183,176
