mainFrameColor,169,55,231
jButton1,194,86,228
jButton2,232,87,201
jButton3,9,152,114
jButton4,155,196,91
jButton5,46,255,250
jButton6,234,75,76
jButton7,17,157,207
jButton8,128,77,249
jButton9,163,98,97
jButton10,227,99,215
jButton11,66,254,18
jButton12,81,54,142
jButton13,176,104,121
jButton14,4,248,90
jButton15,30,154,207
jButton16,121,86,79
jButton17,203,196,42
jButton18,78,113,119
jTextField1,159,39,137
jTextField1TextColor,72,90,184
jLabel1,202,2,229
jPanel1,35,171,59
jPanel2,171,102,255
jPanel3,187,35,204
jPanel4,225,149,120
jPanel5,180,66,74
