mainFrameColor,81,123,254
jButton1,23,39,131
jButton2,227,186,233
jButton3,206,156,84
jButton4,255,214,213
jButton5,67,50,94
jButton6,97,28,8
jButton7,64,54,121
jButton8,25,86,128
jButton9,65,229,209
jButton10,222,118,11
jButton11,7,211,68
jButton12,174,193,185
jButton13,184,70,136
jButton14,16,224,61
jButton15,239,224,48
jButton16,204,78,39
jButton17,119,93,1
jButton18,182,252,124
jTextField1,179,57,242
jTextField1TextColor,243,211,43
jLabel1,150,224,0
jPanel1,179,241,150
jPanel2,161,143,126
jPanel3,17,80,13
jPanel4,107,132,178
jPanel5,59,212,95
