mainFrameColor,86,142,104
jButton1,224,238,75
jButton2,229,239,135
jButton3,17,96,13
jButton4,75,53,74
jButton5,154,65,186
jButton6,78,106,55
jButton7,131,117,31
jButton8,76,238,147
jButton9,118,247,68
jButton10,205,100,82
jButton11,78,124,235
jButton12,147,181,140
jButton13,102,182,0
jButton14,147,96,172
jButton15,113,155,189
jButton16,124,229,105
jButton17,31,125,49
jButton18,190,253,20
jTextField1,226,159,24
jTextField1TextColor,255,1,166
jLabel1,59,171,254
jPanel1,226,255,91
jPanel2,255,87,233
jPanel3,163,208,240
jPanel4,201,161,120
jPanel5,103,119,152
