mainFrameColor,103,183,239
jButton1,137,193,131
jButton2,49,106,197
jButton3,56,205,248
jButton4,138,40,222
jButton5,185,1,174
jButton6,221,10,54
jButton7,20,59,75
jButton8,15,141,109
jButton9,100,197,47
jButton10,215,182,143
jButton11,249,2,116
jButton12,124,37,61
jButton13,32,224,179
jButton14,97,70,183
jButton15,65,81,164
jButton16,57,218,39
jButton17,210,154,41
jButton18,86,99,215
jTextField1,239,112,84
jTextField1TextColor,25,82,130
jLabel1,222,24,81
jPanel1,182,124,176
jPanel2,97,176,149
jPanel3,165,91,213
jPanel4,136,19,41
jPanel5,120,103,154
