mainFrameColor,19,117,177
jButton1,150,173,42
jButton2,0,0,0
jButton3,74,74,74
jButton4,238,225,101
jButton5,6,66,81
jButton6,1,83,197
jButton7,246,118,21
jButton8,47,62,163
jButton9,4,109,215
jButton10,152,232,92
jButton11,48,12,190
jButton12,19,68,32
jButton13,214,141,231
jButton14,249,40,104
jButton15,29,216,20
jButton16,123,248,208
jButton17,197,114,107
jButton18,153,208,167
jTextField1,240,11,166
jTextField1TextColor,33,222,208
jLabel1,50,184,207
jPanel1,113,178,195
jPanel2,122,31,73
jPanel3,87,69,255
jPanel4,180,235,116
jPanel5,146,169,170
