mainFrameColor,188,13,1
jButton1,168,124,168
jButton2,92,194,55
jButton3,86,207,53
jButton4,19,68,79
jButton5,216,13,205
jButton6,188,1,69
jButton7,195,156,28
jButton8,173,132,167
jButton9,108,138,225
jButton10,244,195,11
jButton11,97,234,210
jButton12,99,110,218
jButton13,237,24,230
jButton14,131,130,114
jButton15,145,222,89
jButton16,62,181,48
jButton17,131,219,235
jButton18,110,248,24
jTextField1,229,251,119
jTextField1TextColor,128,170,186
jLabel1,77,43,37
jPanel1,214,15,65
jPanel2,145,234,165
jPanel3,225,141,213
jPanel4,73,45,49
jPanel5,220,191,179
